artists,popularity,genres
El Cocha Molina,39,[]
El Combo De Las Estrellas,39,"['classic colombian pop', 'cumbia']"
El Compa Chuy,46,"['banda', 'deep regional mexican', 'grupera', 'norteno', 'regional mexican']"
"El Compa Sacra, El Ultimo Razo",46,"['banda', 'norteno', 'regional mexican']"
El Coyote Y Su Banda Tierra Santa,45.6666666667,"['banda', 'grupera', 'norteno', 'ranchera', 'regional mexican', 'regional mexican pop']"
El DeBarge,39.7142857143,"['new jack swing', 'quiet storm', 'urban contemporary']"
El Dipy,62,"['cumbia pop', 'cumbia villera']"
El Fantasma,67,['regional mexican pop']
El General,49,['panamanian pop']
El Gran Combo De Puerto Rico,40.4444444444,"['boogaloo', 'latin jazz', 'salsa', 'salsa puertorriquena', 'tropical']"
El Gran Silencio,54.5714285714,"['latin alternative', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']"
El Guincho,81,['musica canaria']
El Güero y Su Banda Centenario,44.4,"['banda', 'duranguense', 'grupera', 'norteno', 'regional mexican']"
El Halcon De La Sierra,45.1428571429,"['banda', 'deep regional mexican', 'norteno', 'regional mexican']"
El Haragán y Compañía,49.0833333333,"['rock en espanol', 'rock urbano mexicano']"
El Komander,55.375,"['banda', 'grupera', 'norteno', 'regional mexican']"
El Lobito de Sinaloa,40,['deep regional mexican']
El Mariachi De América De Jesús Rodriguez De Hijar,45,['mariachi']
El Michels Affair,54,"['afrobeat', 'electronica', 'funk', 'indie jazz', 'indie soul', 'instrumental soul', 'soul']"
El Millonario,49,[]
El Monarca De Sinaloa,33,['deep regional mexican']
El Movimiento Alterado,50,['deep regional mexican']
El Negro,7,[]
El Noble,48,[]
El Palomo Y El Gorrion,24.7857142857,['mexican traditional']
El Pelón del Mikrophone,48,"['banda', 'trival']"
El Pili,0,[]
El Piporro,41.1666666667,"['mariachi', 'ranchera']"
El Poder Del Norte,47.0833333333,"['banda', 'cumbia', 'grupera', 'norteno', 'ranchera', 'regional mexican']"
El Potro De Sinaloa,49.6,"['banda', 'corrido', 'deep regional mexican', 'duranguense', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']"
El Profesor,60,['house']
El Roockie,61,"['latin', 'latin hip hop', 'panamanian pop', 'reggaeton', 'tropical']"
El Sentir De La Bachata,39,[]
El Simbolo,54,[]
El Ten Eleven,49,"['american post-rock', 'instrumental post-rock', 'post-rock']"
El Tiempo,46.3333333333,['grupera']
El Tigrillo Palma,50.1538461538,"['banda', 'grupera', 'norteno', 'regional mexican']"
El Tri,46.625,"['latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'rock urbano mexicano']"
El Trono de Mexico,48.7,"['banda', 'duranguense', 'grupera', 'norteno', 'regional mexican']"
El Viejo Paulino Y Su Gente,45,['norteno']
El de La Guitarra,69,"['corridos tumbados', 'regional mexican pop']"
El-P,44,"['rock-and-roll', 'rockabilly']"
Eladio Carrion,69,"['reggaeton flow', 'trap argentino', 'trap latino']"
Elaine Caswell,51,[]
Elaine Lynn,1,[]
Elaine Paige,42.6666666667,['operatic pop']
Elaine Stritch,15.25,['broadway']
Elaine Swann,30,[]
Elastica,40.6666666667,"['alternative pop', 'alternative rock', 'britpop', 'candy pop']"
Elayna Boynton,48,[]
Elbow,44.5,"['britpop', 'chamber pop', 'indie rock', 'modern rock', 'neo mellow', 'rock']"
Elder Island,63,"['electronica', 'indie soul', 'indietronica', 'vapor soul']"
Elderbrook,72,"['house', 'new french touch', 'tropical house']"
Eldridge Holmes,24,['new orleans funk']
Eleanor Arroway,61.5,['background music']
Eleanor Steber,6,['classical soprano']
Electrasy,38,['grunge pop']
Electric Boys,29,"['funk metal', 'funk rock', 'glam metal', 'hard rock', 'modern hard rock', 'sleaze rock', 'swedish alternative rock', 'swedish hard rock']"
Electric Guest,54.8181818182,"['alternative dance', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop', 'vapor soul']"
Electric Light Orchestra,39.4090909091,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
Electric Six,55,"['dance-punk', 'garage rock']"
Electric Wizard,46,"['doom metal', 'drone metal', 'psychedelic doom', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock', 'uk doom metal']"
Electric Youth,59,"['filter house', 'popwave', 'synthwave']"
Electro-Light,60,['gaming edm']
Electronic,42,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'psychedelic hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Elefante,59.1538461538,"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol']"
Element Eighty,49,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock']"
Elena Coats,73,[]
Elena Filipova,49,[]
Elena Kamenskaja,1,[]
Eleni Karaindrou,43,"['greek contemporary classical', 'soundtrack']"
Elephant Man,51.375,"['dancehall', 'reggae fusion', 'soca']"
Elephant Revival,45,"['deep new americana', 'indie folk', 'laboratorio', 'new americana', 'progressive bluegrass', 'stomp and holler', 'washboard']"
Elephante,55,"['edm', 'electro house', 'electropop', 'indie poptimism', 'pop edm', 'tropical house']"
Elevation Worship,61.75,"['ccm', 'christian music', 'world worship', 'worship']"
Eleven Hundred Springs,50,"['outlaw country', 'red dirt', 'roots americana', 'texas country']"
Eleven Pond,34,"['dark post-punk', 'grave wave', 'minimal wave']"
Elevie J,68,['background music']
Elf,35,"['scorecore', 'soundtrack']"
Elfriede Marherr,0.5,[]
Eli Palacios,62,[]
Eli Staxxz,69,[]
Eli Young Band,53.75,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'pop rock', 'texas country']"
Elia y Elizabeth,24.2857142857,[]
Eliane Elias,43.3333333333,"['adult standards', 'bossa nova', 'brazilian modern jazz', 'contemporary vocal jazz', 'lounge', 'piano mpb', 'vocal jazz']"
Elie Cohen,0,[]
Elie Pooyak,0,[]
Eliecer Ochoa y su Conjunto Vallenato,22,[]
Elijah Blake,53,"['alternative r&b', 'deep pop r&b', 'indie r&b', 'trap soul']"
Elijah Kelley,50.625,"['hollywood', 'movie tunes', 'show tunes']"
Elijah Who,62,['lo-fi beats']
Elina,68,"['indie cafe pop', 'norwegian pop', 'pop', 'swedish pop', 'viral pop']"
Elio Roca,39,"['mexican rock-and-roll', 'pop romantico']"
Eliot Feld,22.3333333333,[]
Elis Regina,43.5277777778,"['bossa nova', 'brazilian jazz', 'forro', 'mpb', 'samba']"
Elisa Mosel,65,"['calming instrumental', 'classify', 'piano cover']"
Elisabeth Grümmer,0.0476190476,['classical soprano']
Elisabeth Höngen,0,['classical mezzo-soprano']
Elisabeth Leonskaja,42.6666666667,['classical piano']
Elisabeth Ohms,0.5,[]
Elisabeth Rethberg,0,['vintage classical singing']
Elisabeth Schumann,0,['vintage classical singing']
Elisabeth Schwarzkopf,1.75,"['classical performance', 'classical soprano', 'opera']"
Elisabeth Schwarzkopf/Erich Kunz/Nicolai Gedda/Emmy Loose/Philharmonia Orchestra/Otto Ackermann,0,[]
Elisabeth Schwarzkopf/Nicolai Gedda/Felix Kent/André von Mattoni/Philharmonia Orchestra/Otto Ackermann,0,[]
Elisabeth Westenholz,36,[]
Elisabetta Fusco,9,[]
Elise Lieberth,55,['viral pop']
Elise Ryen,67,[]
Eliseo Herrera,25.6666666667,[]
Eliseo Robles,52,['norteno']
Eliseo Robles Y Los Barbaros Del Norte,49,['norteno']
Eliseo Robles y los Bárbaros del Norte,39.5,['norteno']
Eliseo Roman,44,"['broadway', 'show tunes']"
Elivda Rizzo,23,[]
Eliza Doolittle,67,['lilith']
Elizabeth Ann,61,[]
Elizabeth Bishop,7.3333333333,['poetry']
Elizabeth Cook,46,['outlaw country']
Elizabeth Cotten,33.6,"['american folk revival', 'appalachian folk', 'blues', 'folk', 'old-time', 'piedmont blues', 'traditional blues', 'traditional folk']"
Elizabeth Cotten and Brenda Evans,48,[]
Elizabeth Doubleday,1.5,[]
Elizabeth Fraser,50,"['ethereal wave', 'scottish indie']"
Elizabeth Gillies,59.8,[]
Elizabeth Harwood,29,['classical soprano']
Elizabeth Hedman,61,[]
Elizabeth Howell,8,[]
Elizabeth Knight and The Harvesters,10,[]
Elizabeth Mitchell,45.6153846154,"[""children's folk"", ""children's music""]"
Elizabeth Norberg-Schulz,47.5,['italian soprano']
Elizabeth Pacetti,0,[]
Elizabeth Taylor,24,[]
Elizabeth Wallfisch,32.5,"['baroque violin', 'violin']"
Elizabeth Wallfisch/Lisa Beznosiuk/Malcolm Proud/Orchestra of the Age of Enlightenment,32.5,[]
Elizabeth Wilcock,29,['baroque violin']
Elizaveta,53,['deep indie singer-songwriter']
Elizeth Cardoso,2,"['bossa nova', 'brazilian composition', 'choro', 'forro', 'mpb', 'samba', 'velha guarda']"
Elkie Brooks,45.5,"['classic uk pop', 'new wave pop']"
Ella Eyre,64.5,"['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']"
Ella Fitzgerald,21.3812282735,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']"
Ella Henderson,61.8,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']"
Ella Logan,2.875,[]
Ella Mae Morse,38.5,"['big band', 'jump blues', 'swing']"
Ella Mai,66.1538461538,"['deep pop r&b', 'pop', 'pop rap', 'r&b', 'rap', 'uk contemporary r&b', 'urban contemporary']"
Ella Meadon,0,[]
Elle King,62.8,[]
Elle McLemore,56.4285714286,['show tunes']
Elle Varner,47,"['alternative r&b', 'deep pop r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Ellen Carleen,2,[]
Ellen Gottschalch,0,[]
Ellen Gottschalch & Edgar Hansen,0,[]
Ellen Gottschalch og Max Hansen,0,[]
Ellen Gottschalch og Niels Brincker,0,[]
Ellen Green,26,[]
Ellen Greene,38.25,[]
Ellen Hanley,0,[]
Ellen Lane,3,[]
Ellen McCown,0,[]
Ellen McIlwaine,38.5,[]
Ellen Reid,35,[]
Ellen Repp,3,[]
Elley Duhé,69.6666666667,"['electropop', 'indie cafe pop', 'indie electropop', 'indie poptimism', 'pop']"
Elli Sofroniou,0,[]
Ellie Goulding,49.3333333333,"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']"
Elliot Lawrence,11.4444444444,[]
Elliot Moss,56,[]
Elliot Root,59,"['hopebeat', 'indie cafe pop', 'indie poptimism', 'indiecoustica', 'indietronica', 'modern rock', 'stomp and holler']"
Elliot Scheiner,26.3333333333,[]
Elliott Smith,39.8070175439,"['alternative rock', 'anti-folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'singer-songwriter', 'slow core']"
Elliott Trent,61,"['deep pop r&b', 'trap soul']"
Elliott Yamin,62,[]
Ellis B. Kohs,0,['american modern classical']
Ellis Larkins,17.0833333333,[]
Ellise,68,"['indie poptimism', 'pop']"
Ellusive,66,['bass trap']
Elly & Rikkert,40,['muziek voor kinderen']
Elly Ney,0,[]
Elly Roman,0,[]
Elmer Bernstein,16.8421052632,"['classic soundtrack', 'soundtrack', 'theme']"
Elmer Bernstein conducting The United Artists Studio Orch.,0,[]
Elmer Fudpucker,25,[]
Elmo & Patsy,32,['novelty']
Elmore James,18.2,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']"
Elohim,58,"['edm', 'electropop', 'indie electropop', 'indie poptimism', 'indietronica', 'la pop', 'pop', 'vapor soul', 'vapor twitch']"
Eloy,41,"['perreo', 'reggaeton flow']"
Elsa Garcia,33.5,['tejano']
Elsa Greeve,67,[]
Elsa Lampo,0,[]
Elsa Merlini,4,['vintage italian pop']
Elsa Merlini & Enrico Viarisio,3,[]
Else Marie & Ellen Gottschalch m.fl.,0,[]
Else Ruziczka,0,[]
Else Schurhoff,0,[]
Else Schürhoff,0,[]
Elsie Houston,0.3636363636,[]
Elsie Morison/Jeannette Sinclair/Marjorie Thomas/Glyndebourne Chorus/Pro Arte Orchestra/Sir Malcolm Sargent,13,[]
Elskavon,66,"['ambient worship', 'compositional ambient', 'neo-classical']"
Elton John,38.0915492958,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']"
Elton Medeiros,41.5,"['choro', 'forro', 'modern samba', 'pagode', 'roda de samba', 'samba', 'velha guarda']"
Elton Motello,35,[]
Eluveitie,56,"['bow pop', 'celtic metal', 'celtic rock', 'folk metal', 'hurdy-gurdy', 'melodic death metal', 'power metal', 'swiss metal']"
Eluvium,44,"['ambient', 'compositional ambient', 'drift', 'drone', 'focus', 'post-rock']"
Elvin Bishop,37,"['blues rock', 'country rock', 'electric blues', 'southern rock']"
Elvin Jones,23.2,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz drums', 'jazz funk', 'soul jazz']"
Elvira De Dalgko,0,[]
Elvira Nte Intalgko,0,[]
Elvira Nte Ntalgko,0,[]
Elvis Costello,34.7076923077,"['art rock', 'dance rock', 'folk', 'folk rock', 'lilith', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']"
Elvis Costello & The Attractions,33.8727272727,"['art rock', 'dance rock', 'folk rock', 'mellow gold', 'new wave', 'new wave pop', 'power pop', 'pub rock', 'rock', 'roots rock']"
Elvis Crespo,49.4545454545,"['latin', 'tropical']"
Elvis Martinez,41.5,"['bachata', 'dominican pop', 'latin', 'tropical']"
Elvis Presley,33.3919191919,"['rock-and-roll', 'rockabilly']"
Elvis-Kingtinued,40,[]
Elwood,36,[]
Ely Guerra,64,"['latin alternative', 'latin rock', 'mexican indie', 'mexican rock', 'rock en espanol']"
Elyane Célis,0,['vintage chanson']
Eléni Liápi,0,[]
Elî Merdan,0,[]
Em. Hiotis,0,[]
Emahoy Tsegué-Maryam Guébrou,36,"['ethio-jazz', 'freak folk', 'world']"
Emancipator,48.4,"['downtempo', 'electronica', 'livetronica', 'trip hop']"
Emanuel Ax,20.3076923077,"['classical performance', 'classical piano']"
Emanuel Balaban,0,[]
Emanuel Bay,0.0454545455,[]
Emanuel Feuermann,3.4705882353,"['cello', 'classical cello', 'historic classical performance']"
Emanuele Nutile,0,['canzone napoletana']
Emarosa,47.5,"['lexington ky indie', 'metalcore', 'pop punk', 'post-hardcore', 'progressive post-hardcore', 'screamo']"
Emblem3,53,"['post-teen pop', 'talent show', 'teen pop']"
Emeli Sandé,46.2,"['dance pop', 'neo soul', 'pop', 'r&b', 'uk pop']"
Emelie Hollow,76,"['norwegian indie', 'norwegian pop']"
Emerante de Pradines,3,['haitian traditional']
Emerson Buckley,6.8,[]
Emerson Drive,41.5,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']"
Emerson String Quartet,37.6666666667,"['classical', 'classical performance', 'string quartet']"
"Emerson, Lake & Palmer",31.6666666667,"['album rock', 'art rock', 'canterbury scene', 'classic rock', 'hard rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
"Emerson, Lake & Powell",31,"['album rock', 'art rock', 'progressive rock', 'symphonic rock']"
Emery,41,"['big room', 'edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Emery Cournard Serenaders,0.5,[]
Emil Cooper,1.6875,['historic orchestral performance']
Emil Gilels,6.8888888889,"['classical performance', 'classical piano']"
Emil Nikolaus von Reznicek,0,['post-romantic era']
Emil Tchakarov,22.5,[]
Emile Ford & The Checkmates,33.6666666667,"['merseybeat', 'rock-and-roll']"
Emile Pandolfi,42.0666666667,"['calming instrumental', 'classify', 'new age', 'new age piano']"
Emile Rousseau,0,['vintage chanson']
Emilee,95,[]
Emilia,60,[]
Emilie-Claire Barlow,53.3333333333,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']"
Emilio B. Rosado Y Su Orquesta,7,[]
"Emilio Estefan, Jr.",47,[]
Emilio José,42,"['deep latin alternative', 'pop romantico']"
Emilio Navaira,42.5,"['grupera', 'norteno', 'tejano', 'tex-mex']"
Emilio Renzi,0,['italian tenor']
Emilio Rojas,61,['soul flow']
Emilio Serrano,0,[]
Emily Browning,42,['christchurch indie']
Emily King,53.5,"['funk', 'indie r&b', 'indie soul', 'neo r&b', 'neo soul', 'nyc pop', 'r&b', 'soul', 'urban contemporary']"
Emily Osment,44,"['post-teen pop', 'viral pop']"
Emily Rubye,57,"['background music', 'focus']"
Emily Warren,61.75,['nyc pop']
Emilíana Torrini,48,"['electronica', 'icelandic indie', 'icelandic pop', 'trip hop']"
Eminem,55.9599236641,"['detroit hip hop', 'hip hop', 'rap']"
Emitt Rhodes,47,"['beatlesque', 'country rock', 'folk rock', 'power pop']"
Emma Kirkby,44.3333333333,"['classical performance', 'classical soprano', 'opera']"
Emma Liebel,0,['vintage chanson']
Emma Stone,63.2,['hollywood']
Emma Watson,62,"['disney', 'hollywood', 'movie tunes', 'show tunes']"
Emma Wiederstahl,61,"['calming instrumental', 'piano cover']"
Emma Williams,41,[]
Emma Zander,60,[]
Emmanouil Xrisafakis,0,[]
Emmanuel,47.7857142857,"['bolero', 'latin', 'latin pop', 'mexican pop', 'ranchera', 'rock en espanol']"
Emmanuel Bay,6,[]
Emmanuel Chabrier,8.0909090909,['late romantic era']
Emmanuel Pahud,48,"['classical flute', 'classical performance']"
Emmanuele,68,[]
Emmerich Kálmán,0,"['german opera', 'operetta']"
Emmure,47.5,"['deathcore', 'melodic metalcore', 'metalcore', 'nu-metalcore', 'rap metal']"
Emmy Loose,0.5625,[]
Emmy Loose/Nicolai Gedda/Philharmonia Chorus/Philharmonia Orchestra/Otto Ackermann,0,[]
Emmy Loose/Nicolai Gedda/Philharmonia Orchestra/Otto Ackermann,0,[]
Emmy Loose/Philharmonia Chorus/Philharmonia Orchestra/Otto Ackermann,0,[]
Emmy Loose/Philharmonia Orchestra/Otto Ackermann,0,[]
Emmy Rossum,51.5789473684,[]
Emmylou Harris,35.7467532468,"['country rock', 'folk', 'folk rock', 'lilith', 'melancholia', 'mellow gold', 'roots rock', 'singer-songwriter', 'traditional folk']"
Emmylou Harris with Glen Campbell,32,[]
Emmylou Harris with Jonathan Edwards,22,[]
Emmylou Harris with Rodney Crowell,32,[]
Emotional Oranges,66,"['alternative r&b', 'indie r&b']"
Emperor,44,"['canadian post-rock', 'freak folk', 'instrumental post-rock', 'post-rock']"
Emphatic,46,"['gymcore', 'hard alternative']"
Empire Brass,26,"['brass band', 'brass ensemble', 'brass quintet']"
Empire of the Sun,56.6153846154,"['alternative dance', 'australian dance', 'australian electropop', 'electropop', 'indie pop', 'indietronica', 'neo-synthpop', 'new rave', 'pop']"
Empress Of,69,"['alternative r&b', 'art pop', 'chillwave', 'dance pop', 'electropop', 'escape room', 'etherpop', 'indie r&b', 'indietronica', 'shimmer pop', 'shiver pop', 'vapor soul']"
Empty Fields,64,['white noise']
Empty Space,65,['background music']
Emílio Santiago,37.5,"['bossa nova', 'brazilian soul', 'forro', 'mpb', 'pagode', 'samba', 'velha guarda']"
En Espíritu Y En Verdad,56.4285714286,"['latin christian', 'latin worship', 'rock cristiano', 'world worship']"
En Vogue,45.4375,"['dance pop', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Enaid,44.5,"['celtic', 'medieval folk', 'new age']"
Enchantment,29.5,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul']"
Endeverafter,61,['wrestling']
Endres Quartet,55,[]
Endré Koréh,0,[]
Enfediskoz,1,[]
Engelbert Humperdinck,25.8449612403,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold']"
Engelina,37,[]
Engelwood,72,['chillhop']
Engenheiros Do Hawaii,60,"['brazilian rock', 'mpb', 'rock gaucho', 'rock nacional brasileiro']"
England Dan,45.7692307692,"['adult standards', 'country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
English Baroque Soloists,44.125,"['baroque ensemble', 'choral', 'classical performance', 'early music ensemble', 'historically informed performance']"
English Chamber Orchestra,31.4303797468,"['chamber orchestra', 'classical']"
English National Opera Orchestra,0.5,[]
Enid Mosier,3,[]
Enigma,47.8333333333,"['banda', 'corrido', 'corridos tumbados', 'deep regional mexican', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']"
Enikő Magyar,52,['viola']
Enjambre,64,"['latin alternative', 'latin rock', 'mexican indie', 'mexican rock', 'rock en espanol']"
Enjoy,51,['indie garage rock']
Ennio Morricone,32.4329896907,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']"
Eno,32.5,"['ambient', 'art pop', 'art rock', 'compositional ambient', 'dance rock', 'drone', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism']"
Enoch Light,0,[]
Enric Madriguera,0,['vintage spanish pop']
Enrico Campi,5.3333333333,['italian bass']
Enrico Macias,35.5,['chanson']
Enrico Toselli,1,[]
Enrique Enrique Granados,1,"['early modern classical', 'post-romantic era']"
Enrique Granados,2.25,"['early modern classical', 'post-romantic era']"
Enrique Guzman,32.7307692308,"['bolero', 'latin pop', 'mexican rock-and-roll', 'ranchera']"
Enrique Iglesias,55.2666666667,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']"
Enrique Lucero,0,['vintage tango']
Ensemble,6,['movie tunes']
Ensemble - Beauty and the Beast,61.5,[]
Ensemble - Tangled,67,[]
Ensemble - The Lion King,38.4444444444,['broadway']
Ensemble Alexandrov,52,[]
Ensemble Galilei,36,"['hammered dulcimer', 'string folk']"
Ensemble Modern,48,[]
Ensemble Musique Oblique,44,[]
Ensemble Orchestral Harmonia Nova,41,[]
Ensemble Orchestral Harmonia Nova & Didier Bouture,41,[]
Ensemble Wien-Berlin,1,['wind quintet']
"Ensemble de la Société philharmonique de Bruxelles, Orchestre national de Belgique",0,[]
Ensemble der Staatsoper Berlin,0,[]
Enter Shikari,39,"['modern rock', 'nintendocore', 'trancecore', 'uk metalcore', 'uk post-hardcore']"
Entombed,39.75,"['alternative metal', 'black metal', 'brutal death metal', ""death 'n' roll"", 'death metal', 'doom metal', 'metal', 'swedish death metal', 'swedish metal']"
Entouch,24,[]
Enuff Z'Nuff,37,"['glam metal', 'hard rock', 'sleaze rock', 'underground power pop']"
Enur,48.5,['reggae fusion']
Environments,20,[]
Enya,44.3333333333,"['celtic', 'middle earth']"
Enzo Dara,33,"['classical bass', 'italian bass', 'opera']"
Enzo Enzo,44.5,"['background music', 'focus', 'pianissimo', 'relaxative']"
Ephraim Galloway,34,[]
Epic Soundscapes,69.5,[]
Epic45,49,"['british post-rock', 'compositional ambient', 'post-rock']"
Equipto,47,"['hyphy', 'west coast rap']"
Eraldo Bernocchi,57,['ambient']
Eraldo Coda,32,[]
Eraserheads,57.7777777778,"['classic opm', 'opm', 'pinoy reggae', 'pinoy rock', 'pop rock']"
Erasmo Carlos,41.8,"['bossa nova', 'brazilian rock', 'brega', 'forro', 'jovem guarda', 'mpb', 'samba', 'velha guarda']"
Erasure,36,"['dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Ercola,43,[]
Erhard Bodenschatz,0,['german baroque']
Eric,40,"['contemporary country', 'country', 'country road', 'modern country rock']"
Eric 'ET' Thorngren,52,[]
Eric Anderson,55,[]
Eric B. & Rakim,38.0869565217,"['alternative hip hop', 'bboy', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']"
Eric Badanti,68,[]
Eric Bartlett,35,[]
Eric Bellinger,58.9230769231,"['dance pop', 'deep pop r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap', 'urban contemporary']"
Eric Benét,43.9285714286,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Eric Brockington,34,[]
Eric Burdon,32.3333333333,"['blues rock', 'british blues', 'classic rock', 'folk rock', 'psychedelic rock']"
Eric Burdon & War,22,[]
Eric Burdon & the Animals,26.1666666667,"['british invasion', 'classic rock', 'folk rock', 'psychedelic rock']"
Eric Carmen,52.3333333333,"['adult standards', 'album rock', 'bubblegum pop', 'disco', 'folk rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']"
Eric Chen,45,[]
Eric Church,54.1138211382,"['contemporary country', 'country', 'country road', 'modern country rock']"
Eric Clapton,36.0103626943,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'roots rock', 'soft rock']"
Eric Darius,43.5,"['smooth jazz', 'smooth saxophone']"
Eric Dolphy,16.1803278689,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'jazz', 'jazz fusion']"
Eric Donaldson,38,"['lovers rock', 'reggae', 'rock steady']"
Eric Fletcher,7,[]
Eric Harland,48,"['contemporary jazz', 'jazz drums']"
Eric Heatherly,45,['country']
Eric Hutchinson,52.6666666667,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock']"
Eric Johnson,39.4285714286,"['blues rock', 'instrumental bluegrass', 'instrumental rock', 'neo classical metal', 'progressive jazz fusion', 'shred']"
Eric Kupper,33,['tribal house']
Eric Leeds,41,[]
Eric Leinsdorf,0.5,"['opera', 'orchestral performance']"
Eric Leva,60,[]
Eric McCain,33,[]
Eric Morris,16,"['broadway', 'show tunes']"
Eric Nally,69,[]
Eric Parkin,37,['classical piano']
Eric Paslay,56.3333333333,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Eric Prydz,60,"['big room', 'disco house', 'edm', 'electro house', 'house', 'progressive house', 'vocal house']"
Eric Rachmany,48,[]
Eric Sadler,27,[]
Eric Stone,38,['beach music']
Eric Timmons,44,[]
Eric Tingstad,30,"['fingerstyle', 'new age', 'rumba']"
Eric Turner,51,[]
Eric Weissberg,30.8888888889,['banjo']
Eric Wilson,37,[]
Eric Winstone,8,[]
Eric Wyrick,35,[]
Erich Kleiber,1.45,"['historic orchestral performance', 'orchestral performance']"
Erich Kunz,0,[]
Erich Kunz/Irmgard Seefried/George London/Elisabeth Schwarzkopf/Anny Felbermayer/Hilde Czeska/Chor der Wiener Staatsoper/Wiener Philharmoniker/Herbert von Karajan,0,[]
Erich Kunz/Irmgard Seefried/George London/Elisabeth Schwarzkopf/Marjan Russ/Elisabeth Höngen/Erich Majkut/Wiener Philharmoniker/Herbert von Karajan,0,[]
Erich Kunz/Irmgard Seefried/George London/Elisabeth Schwarzkopf/Sena Jurinac/Marjan Russ/Elisabeth Höngen/Erich Majkut/Rosl Schwaiger/Wilhelm Felden/Anny Felbermayer/Hilde Czeska/Chor der Wiener Staatsoper/Wiener Philharmoniker/Herbert von,0,[]
Erich Kunz/Irmgard Seefried/George London/Elisabeth Schwarzkopf/Wilhelm Felden/Wiener Philharmoniker/Herbert von Karajan,0,[]
Erich Kunz/Irmgard Seefried/George London/Wiener Philharmoniker/Herbert von Karajan,0,[]
Erich Kunz/Irmgard Seefried/Wiener Philharmoniker/Herbert von Karajan,0,[]
Erich Kunz/Philharmonia Chorus/Philharmonia Orchestra/Otto Ackermann,0,[]
Erich Kunz/Philharmonia Orchestra/Otto Ackermann,0,[]
Erich Kunz/Wiener Philharmoniker/Herbert von Karajan,0,[]
Erich Lee,63,[]
Erich Leinsdorf,8,"['opera', 'orchestral performance']"
Erich Majkut,1.0625,[]
Erich Wolfgang Korngold,5.0731707317,"['classic soundtrack', 'early modern classical']"
Erich-Weinert-Ensemble,40,['russian folk']
Erick Friedman,17.6666666667,[]
Erick Morillo,61,"['disco house', 'tribal house']"
